2017-01,BX,64414,105148
2017-02,BX,62557,91791
2017-03,BX,77384,113581
2017-04,BX,72997,105804
2017-05,BX,69845,120106
2017-06,BX,67882,116311
2017-07,BX,64849,108990
2017-08,BX,61303,109318
2017-09,BX,58411,115763
2017-10,BX,58632,132040
2017-11,BX,55802,133710
2017-12,BX,63569,114958
2018-01,BX,58395,113294
2018-02,BX,54448,111466
2018-03,BX,70276,120856
2018-04,BX,70517,118543
2018-05,BX,72855,132716
2018-06,BX,68187,123214
2018-07,BX,63147,119286
2018-08,BX,67010,117011
2018-09,BX,63802,117120
2018-10,BX,67130,141653
2018-11,BX,66755,124905
2018-12,BX,72301,129023
