2017-01,BK,580452,243371
2017-02,BK,566552,220830
2017-03,BK,643381,254080
2017-04,BK,627458,206301
2017-05,BK,642897,272285
2017-06,BK,605392,267246
2017-07,BK,501585,238885
2017-08,BK,485228,231779
2017-09,BK,536261,263069
2017-10,BK,549854,301648
2017-11,BK,498263,285792
2017-12,BK,525218,222876
2018-01,BK,457684,256824
2018-02,BK,435792,254453
2018-03,BK,519718,253960
2018-04,BK,516124,262990
2018-05,BK,525602,296059
2018-06,BK,508152,262072
2018-07,BK,427847,242089
2018-08,BK,439423,232466
2018-09,BK,466866,227311
2018-10,BK,503789,322573
2018-11,BK,438998,269199
2018-12,BK,443721,249673
